Apiary Hive# rand=1-20,Varroa Mites observed                  rand=0-133,"Hours of Sun,   Apr-Oct, 2018         rand=509-3374",Wax Moth Observed             rand=0-15,Total Honey Collected      (weight in g)         rand=2000-20000,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced               rand=0-6,,
10,20,1846,4,12559,1,2,,
10,118,2038,9,8503,1,5,,
10,7,3124,3,8010,0,6,,
10,95,2933,1,10173,1,1,,
10,102,1118,13,8577,0,5,,
10,86,1519,0,8353,1,6,,
10,77,511,8,14254,1,1,,
10,21,693,12,14380,0,5,,
10,62,2199,11,1682,1,6,,
10,91,3005,9,4833,0,6,,
10,105,1731,4,2251,1,0,,
10,8,2791,1,8265,1,4,,
10,43,2088,7,8488,1,5,,
11,84,2106,8,10774,1,4,,
11,119,3027,7,9363,0,2,,
11,104,2852,5,14763,1,5,,
11,15,717,13,6146,1,0,,
11,38,3068,5,9978,0,0,,
11,106,2678,4,14277,1,6,,
11,8,886,1,14650,0,4,,
11,89,3079,9,13923,1,1,,
11,103,3318,5,1699,1,2,,
11,38,576,9,11063,0,1,,
11,89,2226,10,10099,1,2,,
11,83,1881,0,13565,1,3,,
11,71,684,5,9422,0,6,,
11,132,2598,3,14525,0,6,,
11,75,2005,15,12272,0,1,,
11,56,2386,2,4438,0,5,,
11,15,2678,10,7226,0,4,,
11,13,1036,9,7724,1,4,,
11,84,741,2,10349,1,6,,
11,16,1641,11,6991,0,4,,
11,106,612,10,10071,1,6,,
11,70,1593,8,5356,0,1,,
11,45,3018,15,5971,1,6,,
11,101,1929,10,5616,1,4,,
11,114,610,6,3749,0,5,,
11,43,2276,7,10959,1,6,,
11,22,2744,3,9999,1,6,,
11,11,3113,4,11348,1,1,,
11,62,1664,2,14393,1,0,,
11,93,3072,1,11852,1,0,,
11,118,926,2,6360,0,6,,
12,67,795,9,7502,0,0,,
12,102,703,12,12709,1,0,,
12,67,1546,15,11068,1,2,,
12,106,2038,8,4462,1,0,,
12,87,2314,12,7356,0,3,,
12,88,708,14,6081,1,1,,
12,12,569,0,5560,1,1,,
12,116,1168,3,3862,0,6,,
12,115,2351,14,10601,1,5,,
12,43,1207,10,2861,0,4,,
12,54,3113,8,8097,0,1,,
12,97,2116,8,7096,1,0,,
12,35,998,4,2241,1,2,,
12,88,682,8,5082,0,6,,
12,56,2216,2,3430,0,2,,
12,131,1844,7,10647,1,1,,
12,133,1249,7,10196,1,1,,
12,9,2590,5,5561,1,3,,
12,110,2907,8,7301,0,1,,
12,130,2959,7,8006,0,2,,
12,121,992,7,7910,0,6,,
12,26,2315,8,5623,1,6,,
12,10,741,11,11835,0,0,,
12,116,3262,14,4696,1,1,,
12,61,2522,3,4532,1,4,,
12,64,2561,0,2673,0,4,,
12,25,3271,9,9438,0,1,,
12,49,751,9,14299,1,5,,
12,74,2636,9,14491,1,2,,
12,99,3217,7,3824,0,5,,
12,50,2181,10,3907,1,5,,
12,61,1907,13,12395,0,4,,
12,47,1987,0,3307,1,6,,
12,30,2796,11,9720,1,3,,
13,91,919,13,11296,0,6,,
13,122,1467,11,3670,0,2,,
13,113,538,6,13609,0,3,,
13,61,2037,4,13022,1,5,,
13,21,2709,5,3882,1,0,,
13,61,2441,14,10142,1,2,,
13,41,935,15,5198,1,3,,
13,0,1907,3,13669,1,6,,
13,30,1570,8,13170,0,3,,
13,67,1475,12,9362,1,4,,
13,44,1708,11,6749,1,3,,
13,75,1667,2,2588,1,3,,
13,28,1596,15,13486,1,0,,
13,21,1214,9,2626,1,5,,
13,81,2225,4,10525,1,0,,
13,84,2056,6,6991,1,4,,
13,58,766,10,8696,1,3,,
13,66,751,11,13450,1,3,,
13,16,2695,0,13717,1,2,,
13,22,1754,11,8004,0,4,,
13,11,3181,1,14701,1,3,,
13,126,2431,7,1705,1,6,,
13,114,2239,6,5327,0,1,,
13,130,2975,1,14030,1,1,,
13,98,1119,4,7452,1,6,,
13,85,2219,9,2993,1,1,,
13,123,1567,6,12646,1,4,,
13,109,834,0,12305,1,6,,
13,79,2823,12,12831,0,6,,
13,14,2868,6,10217,1,4,,
13,61,3106,1,6321,0,5,,
13,112,1369,7,9067,1,3,,
13,60,784,14,14946,0,3,,
13,8,885,6,9711,0,2,,
13,37,533,14,6482,1,2,,
13,64,596,7,2236,1,3,,
13,39,624,6,2856,1,0,,
14,38,748,6,12428,1,6,,
14,102,3079,10,3362,0,6,,
14,133,1103,1,2908,0,3,,
14,120,2787,5,3921,1,1,,
14,3,2837,9,13844,0,3,,
14,19,2483,12,6886,1,0,,
14,63,2269,8,9832,0,2,,
14,77,2749,15,2055,1,0,,
14,42,1616,0,8982,0,3,,
14,114,1246,9,3965,1,0,,
14,25,2312,6,7920,1,2,,
14,129,3238,9,8212,1,6,,
14,133,2782,6,6819,1,0,,
14,53,2734,11,5412,1,4,,
14,131,1263,10,8969,0,5,,
14,114,542,5,5312,0,5,,
14,13,1087,1,8517,0,2,,
14,66,2743,14,12299,1,0,,
14,107,1572,14,9447,1,6,,
14,32,2921,12,1390,1,4,,
14,59,950,13,7537,1,3,,
14,31,944,14,11169,0,5,,
14,97,2579,1,3797,1,2,,
14,20,3229,15,12506,1,5,,
14,96,1568,15,11242,1,1,,
14,0,760,5,11764,0,1,,
14,131,3076,11,2346,0,1,,
14,89,804,13,9746,0,3,,
14,83,2249,1,1525,0,4,,
14,46,2412,10,8833,0,0,,
15,50,3108,5,13703,0,5,,
15,103,582,8,3896,1,5,,
15,125,3237,13,13050,0,5,,
15,29,2150,1,8546,0,0,,
15,93,2928,0,2203,1,0,,
15,44,2810,0,7074,0,0,,
15,16,2869,10,2018,1,1,,
15,92,929,5,11136,0,6,,
15,58,1107,6,14458,0,5,,
15,103,2856,6,3715,1,5,,
15,21,552,15,4665,0,3,,
15,5,2557,11,9002,0,4,,
15,35,2545,13,1759,1,3,,
15,76,1034,15,12879,0,3,,
15,94,1068,12,4821,0,3,,
15,55,2092,2,4488,1,2,,
15,91,2219,6,9020,1,0,,
15,114,1397,9,4912,0,2,,
15,89,3287,3,14214,1,4,,
15,32,3134,0,7610,1,6,,
15,0,653,1,9056,1,3,,
15,94,2329,15,8783,0,2,,
15,13,826,6,8089,1,3,,
15,83,2813,13,7128,1,0,,
15,99,2006,13,7925,0,1,,
15,124,1641,3,10338,0,5,,
15,58,2040,4,13079,0,4,,
15,58,1768,2,2145,1,2,,
15,66,2010,10,11976,1,6,,
15,88,1112,1,11397,1,4,,
15,108,1096,5,5056,0,2,,
15,68,2327,13,12729,0,1,,
15,68,2905,12,14552,1,3,,
15,35,3348,5,1828,0,3,,
16,72,1101,13,11745,0,2,,
16,82,1928,2,6034,0,6,,
16,67,2915,3,10994,0,5,,
16,37,2363,10,6660,1,1,,
16,123,967,14,10756,1,1,,
16,82,1716,3,10967,0,3,,
16,118,1378,7,13204,1,0,,
16,27,2709,6,12960,1,4,,
16,75,2285,11,5151,0,3,,
16,119,2934,10,13064,1,3,,
16,34,2639,3,12864,1,0,,
16,130,794,9,13402,0,4,,
16,41,2552,15,10661,0,6,,
16,44,733,7,8293,1,0,,
16,98,1573,0,9060,0,0,,
16,26,2578,2,9415,1,6,,
16,37,2955,4,1983,0,3,,
16,18,2521,6,10735,0,1,,
16,57,2955,1,4110,1,5,,
16,35,735,2,3839,0,4,,
16,102,2431,3,8806,0,6,,
16,85,2183,5,12384,0,6,,
16,69,2729,12,8202,0,4,,
16,91,1401,8,11328,1,1,,
16,85,628,2,11154,0,5,,
16,15,2932,2,13454,0,4,,
16,108,876,8,1320,0,4,,
16,114,1477,5,10277,0,2,,
16,83,1972,2,9768,1,4,,
16,20,3040,10,2056,1,5,,
16,36,2151,5,9435,0,5,,
16,83,1048,3,12027,1,0,,
16,20,1752,12,10651,1,4,,
16,36,1294,8,13434,0,1,,
16,32,684,9,1588,1,3,,
16,46,2169,14,7773,1,6,,
16,104,3332,13,9387,1,3,,
16,21,1733,8,4708,1,0,,
16,47,2978,7,13844,1,5,,
16,6,1190,4,3273,0,4,,
16,59,895,10,5156,0,4,,
16,117,2811,3,2685,0,1,,
16,22,1320,13,6703,1,6,,
16,94,2790,14,11088,1,5,,
16,45,2101,13,3418,0,5,,
16,60,2104,10,5570,0,5,,
16,117,3161,10,1987,1,5,,
17,35,3046,5,1917,0,3,,
17,76,2137,2,9607,1,4,,
17,88,2813,6,13063,1,2,,
17,32,1964,8,10463,0,4,,
17,64,1512,14,13401,0,0,,
17,127,1825,3,12907,1,0,,
17,116,870,14,8235,0,6,,
17,31,1008,6,8695,0,2,,
17,46,3316,11,3537,0,5,,
17,133,1216,7,6501,0,1,,
17,47,1255,6,4698,0,0,,
17,70,1791,2,11741,0,4,,
17,28,1950,7,11426,0,3,,
17,17,931,12,12383,1,4,,
17,29,2033,12,9865,1,1,,
17,115,764,6,13522,1,5,,
17,108,3306,8,12146,0,4,,
17,3,666,12,11176,0,2,,
17,3,1268,12,3153,0,2,,
17,83,1004,1,13739,0,5,,
17,78,2163,9,10311,0,5,,
17,13,1877,14,10506,0,2,,
17,98,761,8,9260,0,6,,
17,14,1876,5,8576,1,3,,
17,108,1065,11,14420,0,6,,
17,58,3046,9,8742,1,6,,
17,60,908,6,10156,1,4,,
17,7,2040,5,8359,0,2,,
17,122,928,11,8437,1,4,,
17,96,1018,3,6187,0,3,,
17,33,2354,13,4652,1,6,,
17,64,520,8,6852,0,2,,
17,128,2932,2,2122,1,3,,
17,26,1069,12,3631,1,5,,
17,113,1866,11,10404,0,5,,
17,35,2445,0,4434,0,4,,
17,123,1705,14,2453,0,0,,
17,130,3290,4,13554,1,5,,
17,71,872,4,4656,0,2,,
17,5,923,2,9896,1,6,,
17,118,634,10,3307,0,1,,
17,27,677,8,14406,0,4,,
17,124,2262,12,8021,1,4,,
17,4,3369,6,1959,0,6,,
17,1,721,6,4661,0,2,,
17,30,537,6,5246,1,0,,
17,26,2740,12,6946,1,5,,
17,106,1136,15,14894,1,6,,
17,127,1456,1,10293,1,3,,
17,110,1552,8,1522,1,6,,
17,106,1839,1,6034,1,6,,
17,100,2748,1,9907,0,4,,
17,51,1246,5,4991,1,3,,
18,84,3121,1,4382,1,0,,
18,51,1294,1,12625,1,0,,
18,69,901,7,1261,1,5,,
18,44,2331,15,5927,1,0,,
18,58,2526,14,9900,0,3,,
18,50,3312,9,12660,1,1,,
18,63,609,7,14191,1,6,,
18,2,2659,6,5063,0,0,,
18,62,718,13,13229,1,6,,
18,101,1430,0,10847,0,2,,
18,110,2564,11,3217,1,0,,
18,99,1668,13,8903,0,6,,
18,32,1825,7,5124,1,0,,
18,3,1570,13,5456,1,0,,
18,12,784,14,4527,0,6,,
18,68,1547,14,11416,0,4,,
18,126,2372,2,12961,0,2,,
18,47,1899,0,3032,1,4,,
18,93,1227,14,3148,1,4,,
18,58,1288,12,3746,1,0,,
18,19,3182,13,3909,1,4,,
18,99,2394,7,1507,0,2,,
18,20,1062,13,3065,1,4,,
18,80,1955,13,5293,0,6,,
18,63,2063,6,6224,0,1,,
18,27,666,14,8470,1,0,,
18,41,1015,12,2502,0,5,,
18,118,638,0,8572,0,2,,
18,13,967,0,11344,0,3,,
18,38,1992,4,1696,0,4,,
18,75,2296,0,10391,0,6,,
18,77,1297,3,13754,0,0,,
18,78,1623,1,13128,1,3,,
18,91,679,13,8335,0,5,,
18,21,2097,3,12866,1,2,,
18,26,2376,3,12570,0,0,,
18,55,3001,11,8517,1,3,,
18,18,1947,14,2984,1,6,,
19,45,2056,12,10079,1,0,,
19,67,3345,9,11779,0,4,,
19,21,2534,3,8200,1,1,,
19,45,2245,11,13993,1,4,,
19,33,2815,1,6991,1,0,,
19,39,1096,15,14121,1,5,,
19,53,1157,15,4921,1,3,,
19,26,2970,2,8717,0,0,,
19,103,1420,11,9079,0,0,,
19,18,2245,7,13247,0,0,,
19,105,2834,0,14215,0,4,,
19,37,2870,5,4387,0,4,,
19,106,1587,6,14899,0,0,,
19,122,1288,2,7340,1,2,,
19,16,2858,11,4964,0,2,,
19,32,670,13,10745,0,1,,
19,103,3000,13,14002,1,6,,
19,71,3349,3,6518,0,0,,
19,56,1562,4,11083,0,2,,
19,17,1830,9,6007,1,2,,
19,81,2207,5,11712,0,6,,
19,131,2218,2,2302,1,2,,
19,129,2501,15,3932,1,0,,
19,75,2947,12,9893,1,6,,
19,9,2784,12,9396,0,6,,
19,40,2673,1,8945,1,4,,
19,89,1637,7,13397,1,3,,
19,121,1085,12,4408,0,2,,
19,9,2255,15,8701,0,4,,
19,94,3004,2,10397,0,4,,
19,124,2065,2,4764,1,6,,
19,66,2336,8,2889,0,5,,
19,33,2609,12,4190,1,0,,
19,30,743,8,2886,1,6,,
20,98,3308,12,10488,1,2,,
20,63,1152,15,8199,1,3,,
20,105,2555,9,11399,0,0,,
20,5,3157,9,7648,0,0,,
20,64,859,11,14426,1,3,,
20,91,1732,8,11030,0,3,,
20,12,1154,6,10418,1,1,,
20,123,1287,12,12220,0,3,,
20,30,3111,13,14153,0,2,,
20,18,808,13,14787,1,4,,
20,119,1890,9,11732,0,1,,
20,34,3185,4,10789,1,2,,
20,26,2169,13,5365,1,1,,
20,119,668,6,6125,0,1,,
20,84,1161,15,3382,1,3,,
20,20,964,2,2793,0,0,,
20,6,899,1,1874,0,6,,
20,87,1163,4,4807,0,6,,
20,109,967,2,1470,1,6,,
20,89,2342,2,11471,0,3,,
20,20,2678,12,7012,0,2,,
20,0,2759,11,1965,0,2,,
20,46,3293,14,2919,0,3,,
20,37,2890,10,2870,0,3,,
20,9,1533,1,10606,0,3,,
20,23,1960,0,6162,1,4,,
20,90,1092,7,5892,1,1,,
20,70,1654,0,11473,0,5,,
20,101,1002,5,12144,0,1,,
20,111,2566,7,2230,0,6,,
20,95,2867,5,7043,0,6,,
20,17,1960,7,3961,0,3,,
20,24,567,11,8378,0,1,,
20,39,2211,0,11927,1,0,,
20,126,2861,6,2330,1,6,,
20,129,2761,2,5483,0,4,,
20,111,2339,8,2441,1,5,,
20,122,2122,6,1232,0,4,,
20,41,2585,13,6094,0,0,,
20,110,3188,12,10748,1,0,,
20,87,1478,5,2807,1,5,,
20,109,1411,12,9938,0,3,,
20,133,1042,14,7925,0,3,,
20,127,3058,8,2158,1,5,,
20,37,2757,14,10832,0,6,,
,,,,,,,,