Varroa Mites observed               ,Hours of Sun   ,Wax Moth Observed             ,Total Honey Collected  (weight in g)        ,Swarm Attempt (Yes = 1; 0 = No),Queen Cells produced          ,"Survival (Yes = 1, 0 = No)"
89,2411,3,12356,0,0,1
39,2080,13,9949,1,4,0
34,2983,5,5842,0,1,0
83,516,8,5658,1,3,1
105,2942,14,11488,0,1,0
14,2910,0,9891,1,1,1
73,2947,14,7533,0,4,1
74,2340,5,12818,1,0,1
21,512,8,1844,0,3,1
85,3006,9,14597,0,6,0
6,2628,14,5901,1,6,0
6,2680,1,14918,1,4,0
22,1666,15,2939,1,4,0
67,1360,14,4192,1,2,0
50,1658,12,10771,1,5,1
23,2130,5,1615,0,5,0
87,2184,2,3764,0,5,1
74,908,12,4427,1,0,1
34,2659,6,10297,0,5,1
52,1076,7,1380,1,0,1
102,1713,1,8790,0,2,1
111,3149,10,12413,1,6,0
59,1995,10,3467,1,0,1
100,2371,5,3436,1,0,1
4,1362,4,1379,0,4,0
133,3102,6,11001,1,0,0
19,927,3,12043,0,6,1
79,967,9,7053,1,6,1
127,1759,7,11073,1,5,1
75,2752,12,1472,0,5,1
97,1837,5,12910,0,6,1
10,773,12,4941,1,5,1
102,863,6,2194,0,6,0
83,1717,15,9404,0,3,1
79,1436,9,4858,0,0,1
28,573,11,10814,1,1,1
88,2906,3,4458,1,2,0
110,1278,1,5676,0,6,1
124,763,1,4449,0,5,0
44,1387,1,11728,1,4,0
125,2394,6,10683,1,4,1
28,1160,8,4848,1,5,0
124,1234,15,13027,0,1,1
6,2366,3,3917,0,3,0
133,2980,15,13383,0,5,0
34,2165,10,2763,0,6,1
1,996,14,2353,0,2,1
5,1037,7,3581,0,6,0
125,2424,13,2526,0,5,0
32,2641,6,13448,0,6,1
100,1163,14,6860,0,2,1
132,3195,9,10997,1,1,0
39,2147,14,14809,1,2,1
106,2172,13,9082,1,5,0
120,2302,12,10569,0,5,0
114,2044,8,7491,1,2,0
18,1757,9,8768,1,1,1
56,1601,11,5217,0,4,0
8,1590,14,2662,1,0,0
2,1002,9,6219,1,4,0
89,1156,1,7738,1,0,0
80,1987,2,1919,0,1,1
83,3024,0,14422,1,0,1
69,992,5,6190,0,2,0
128,1414,11,9039,0,6,0
62,1789,2,7409,0,4,0
100,2299,4,9957,0,0,1
125,1612,1,4112,1,2,1
8,667,14,12012,0,0,0
3,1395,12,6815,0,5,1
66,1818,11,14034,1,1,1
107,2385,13,4796,0,5,0
40,2615,9,9956,1,3,1
38,3018,13,10616,1,5,0
70,3251,10,1399,0,6,0
116,687,13,4346,1,4,1
97,2848,3,6274,1,3,0
53,2262,3,5516,1,6,1
84,839,2,5895,1,3,1
18,2987,5,7803,0,5,0
36,728,8,9610,0,4,0
57,2659,15,7492,1,6,1
32,516,14,11505,0,6,1
100,2195,1,11085,0,0,0
76,2191,2,14021,0,3,0
41,1978,10,7276,1,4,1
47,2685,15,4935,0,4,0
65,955,10,8917,0,4,1
11,3092,15,11296,0,5,0
55,2523,6,9548,0,1,0
37,1799,2,7215,0,0,1
1,1612,0,3162,0,1,0
128,1259,2,6859,0,4,1
96,1462,3,5014,0,1,0
35,1168,0,11429,1,1,0
15,1906,11,10087,0,4,0
88,3368,3,9784,1,1,1
102,3313,15,9848,0,4,0
127,817,3,7596,0,6,1
72,1747,5,3121,0,5,0
132,1113,7,9581,0,3,1
37,1567,2,1917,0,1,0
3,2404,3,6449,0,2,0
40,2956,13,6615,0,6,0
22,1491,5,1969,1,4,0
72,897,3,8653,1,2,0
2,1401,3,7213,0,0,0
25,838,0,12150,1,4,0
74,1569,4,4596,1,5,0
24,3265,9,1413,0,0,1
3,2480,7,13400,1,1,1
103,1475,7,7656,0,3,1
63,3195,15,6416,1,5,1
22,2459,8,13184,1,4,0
25,509,13,7414,0,2,0
61,1445,5,10333,0,1,0
91,971,10,6239,1,3,0
50,2318,5,2939,0,4,1
80,2424,12,6360,1,5,0
40,601,14,13809,1,1,0
123,3220,12,12585,1,1,1
52,1026,8,12903,1,1,0
71,3334,11,2652,0,5,0
121,2341,12,7028,0,4,0
14,1659,6,6112,0,3,0
102,3285,6,7977,0,0,0
121,2833,10,6651,1,1,0
71,1750,3,1678,1,1,0
51,2052,9,6225,0,6,1
14,862,2,13443,1,2,0
81,1752,6,11938,0,4,1
6,1365,14,9363,1,6,0
80,1648,15,11067,0,2,0
1,2011,11,10224,1,0,1
75,522,15,13728,1,0,1
33,2499,1,9182,0,3,1
14,1867,5,13204,1,3,0
125,1288,11,5788,0,5,0
117,3329,2,4621,1,3,0
35,1310,7,10276,1,4,0
22,2703,5,5511,0,3,0
53,3193,3,6039,1,6,0
48,2712,10,4521,1,2,0
60,3039,3,10537,0,2,0
108,1800,14,13081,0,2,0
61,2263,2,7334,1,1,1
27,1848,5,14956,0,2,1
32,2461,10,8896,1,1,1
85,1448,14,7070,1,4,0
1,1256,9,2706,0,2,1
100,1202,0,2138,0,3,1
63,873,7,11860,1,1,0
30,2337,15,2410,0,5,1
11,1191,10,5745,0,2,0
81,2685,3,9910,0,0,0
37,2796,12,10653,1,4,0
133,1621,4,14747,1,4,1
91,719,6,5636,0,6,0
104,899,4,14464,1,1,0
117,1856,1,1775,1,4,1
95,2473,6,14870,0,2,1
59,631,6,12230,0,6,0
86,2950,13,7319,1,5,0
92,3209,7,12839,1,6,0
35,741,5,3768,0,1,0
74,892,5,12141,1,6,0
37,3169,15,9439,0,0,1
66,3353,4,11057,0,0,0
39,3023,4,11500,1,5,1
123,2270,13,2387,0,6,0
111,2811,9,5273,0,6,1
47,2481,12,3670,0,2,1
80,2005,3,2339,1,3,0
39,1763,12,13616,0,0,0
25,1589,2,14367,0,2,1
61,1147,11,14025,1,0,0
74,3165,3,10469,1,4,1
56,2676,0,8063,0,6,1
18,2825,15,7711,1,6,0
99,2671,0,4617,1,4,0
94,1576,6,10222,0,1,0
125,1873,12,7983,0,0,1
99,3224,15,6043,0,2,0
22,2989,4,13475,1,2,0
39,1847,0,6897,1,3,0
110,1267,1,10005,0,6,0
4,891,6,8302,1,1,1
123,3114,4,2804,0,5,1
1,2752,13,6489,0,6,1
1,1880,11,1500,1,4,1
85,980,9,6150,0,2,1
84,2345,13,7556,1,1,1
91,3128,15,9170,0,4,0
38,632,9,2015,1,0,0
111,616,3,13946,1,0,0
30,1658,10,5777,1,5,0
91,796,6,13939,0,3,0
4,2483,13,7474,1,0,0
85,3213,2,2473,1,0,0
15,924,14,11383,1,6,1
22,3205,3,12443,0,6,1
85,878,3,7537,1,2,1
49,1515,7,2098,0,6,1
99,1106,5,13365,0,0,1
39,676,14,8844,1,0,0
23,524,12,2461,0,6,1
25,2700,13,3465,1,6,1
88,1368,8,7119,0,6,0
54,2858,12,4417,1,5,1
58,2618,0,10476,1,0,1
33,1701,4,12171,0,1,0
80,2615,10,13003,0,0,1
97,1512,14,6601,1,1,1
4,809,12,14413,1,5,1
58,1987,9,5631,1,6,1
120,3228,7,11825,0,6,0
114,2513,7,6658,1,3,1
9,621,11,14656,0,6,1
133,1045,5,9628,1,0,0
10,2955,0,4216,0,5,0
44,2647,5,2267,0,4,1
97,1587,15,3193,1,0,0
94,2972,11,2743,1,1,0
133,1499,9,4926,1,5,1
32,2588,10,6657,1,3,1
106,1767,5,12165,0,4,1
91,3001,13,12931,1,2,1
126,1051,12,7840,1,0,1
92,666,10,5571,1,2,0
96,2705,10,14933,1,5,1
19,896,13,7742,0,2,1
105,784,7,1490,1,2,0
60,1611,2,9300,1,4,0
34,1583,14,14603,0,0,0
131,2048,11,11991,1,5,0
83,3219,3,8871,1,1,0
102,2494,15,8024,0,1,1
84,2554,1,12092,1,5,1
56,740,10,10289,1,5,1
115,2543,5,4953,0,4,1
100,1276,6,1434,1,0,1
105,1832,3,3306,1,1,0
122,2269,1,6574,1,5,0
67,1159,9,14875,0,1,0
9,2538,1,6452,0,5,1
41,2882,1,4245,0,0,1
87,1597,10,1800,0,6,0
20,1047,3,2712,0,6,1
90,2740,5,2508,0,5,1
32,3291,0,13932,1,6,1
27,3293,12,5098,0,5,0
20,2876,6,12386,0,5,0
63,1296,6,10814,1,1,1
38,632,4,10819,1,5,1
51,3228,11,9233,1,4,0
91,1321,14,7823,0,1,0
21,2505,5,8929,1,6,1
133,3133,8,3652,1,3,0
67,3011,9,13628,0,5,0
75,1547,12,3217,1,1,1
104,1677,11,14792,0,6,1
61,550,9,13219,0,4,1
101,1849,6,13262,1,5,0
2,3307,3,10160,0,1,1
102,1934,12,7340,1,5,0
77,2259,2,4818,0,6,0
104,1217,1,14139,0,4,0
57,3161,12,9226,1,6,1
45,2560,11,2436,1,5,0
55,1995,3,10949,1,1,0
126,1224,7,10974,1,3,0
48,2269,8,13960,1,4,0
66,1034,1,9470,0,6,0
100,1704,1,3940,1,5,0
72,2244,3,14269,1,5,0
58,1394,10,12289,0,0,0
30,923,6,4280,0,6,0
38,1627,3,11832,1,0,0
77,689,13,5603,0,5,1
51,1595,15,1948,1,5,0
25,2801,11,2864,0,6,0
75,534,0,11017,1,0,0
47,2696,6,5878,0,5,1
45,3176,1,4239,1,6,1
35,2991,4,14375,0,0,0
97,1450,6,11890,1,3,1
27,1699,6,4575,0,4,0
41,653,5,2955,0,5,0
67,1029,9,2960,1,5,1
43,960,3,9923,0,0,0
102,2961,14,9296,0,6,1
28,743,2,7654,0,6,1
127,2494,7,11944,1,2,0
24,1530,8,13658,0,6,0
16,3128,1,13562,1,2,0
67,1552,8,13179,1,5,1
101,2625,5,4009,1,2,0
117,2141,2,7040,0,2,1
74,1852,14,5220,1,0,1
15,2176,2,12321,0,0,1
120,1240,10,8426,0,3,0
63,882,0,5965,1,4,0
83,3130,2,12701,0,5,0
80,1960,3,8016,1,1,1
56,550,14,14518,1,0,1
46,3244,4,12158,0,1,1
20,3076,14,11753,0,4,0
58,2467,0,7006,1,0,0
94,522,13,14270,0,4,1
102,2992,12,7836,1,0,0
75,749,12,7975,0,0,1
131,2998,1,10769,1,0,0
98,2619,4,2694,0,5,1
96,1720,12,8281,0,6,0
54,2228,10,4617,1,5,1
45,1248,1,3700,0,3,1
1,1591,3,6083,1,3,1
65,1785,15,6902,0,1,1
93,2090,2,4377,0,2,1
34,939,5,3322,1,4,1
82,2079,6,4369,0,2,1
76,3233,14,3916,1,4,1
83,3221,13,3827,0,2,0
106,2735,8,4425,0,3,0
12,2064,3,1278,1,0,1
31,1618,10,7705,1,4,0
120,1461,6,14549,1,1,0
88,1984,0,5902,0,6,0
93,698,3,4941,1,6,1
122,2549,14,5301,1,2,0
40,1246,15,3450,1,2,0
3,1122,10,5814,0,1,0
110,3274,14,5081,0,4,1
83,1798,2,12245,1,0,1
85,2590,1,11781,1,5,1
21,1696,10,5595,1,4,1
94,2004,5,9996,1,5,1
23,2162,13,12854,0,3,1
132,536,0,8292,0,5,0
126,1029,14,8894,1,0,0
109,2037,1,5690,1,6,1
11,1488,14,7511,0,3,0
5,994,5,2373,0,1,1
120,2657,1,10653,0,1,1
107,1973,3,9760,1,2,1
41,1932,1,13414,0,4,1
67,2757,2,13046,0,0,1
60,1692,4,8218,1,2,1
5,3113,12,2557,1,0,1
50,639,9,13822,0,6,0
28,2221,14,12473,1,6,1
111,743,7,4615,0,2,1
115,1415,0,8708,0,6,0
42,1655,11,11796,1,5,1
70,540,7,6036,0,3,1
83,2750,14,8424,0,2,0
64,2101,7,4255,0,1,0
118,1926,10,14482,1,6,0
114,1984,0,2638,0,3,1
35,2823,11,4957,0,1,1
78,3310,12,12547,1,6,1
10,3106,6,1895,1,4,1
130,2982,5,4389,1,1,1
109,2644,8,5226,0,2,1
39,701,10,1528,0,1,0
130,868,0,14055,0,3,1
64,633,10,13568,0,3,1
16,2380,2,10016,0,6,1
20,621,13,14110,0,1,1
9,2015,5,2915,0,5,1
38,1468,11,13191,0,2,0
3,2849,2,5303,1,3,0
11,2514,13,5215,0,2,0
43,2285,15,10888,0,2,1
7,2916,4,14162,1,1,0
38,2065,15,4482,1,4,1
47,3252,0,3370,1,0,0
116,1236,9,6149,0,2,0
82,1165,9,6151,0,4,0
133,629,6,10975,1,4,0
126,891,5,1587,0,0,0
100,1923,3,4477,1,1,1
53,1644,10,5194,0,0,1
101,1912,1,13612,0,3,1
17,2045,11,13699,1,3,1
121,1788,2,13423,0,0,0
126,2199,7,12785,1,6,0
67,1017,12,8142,1,1,1
95,2604,2,10746,1,1,0
72,1519,11,13636,1,2,0
50,1334,9,14774,1,1,0
120,1168,6,9634,1,4,1
74,2112,3,6294,1,6,0
56,1711,5,11791,1,3,1
68,2852,13,4692,1,6,1
71,1724,6,10090,0,1,1
81,1736,0,13576,0,6,0
20,1846,4,12559,1,2,0
118,2038,9,8503,1,5,1
7,3124,3,8010,0,6,1
95,2933,1,10173,1,1,0
102,1118,13,8577,0,5,0
86,1519,0,8353,1,6,1
77,511,8,14254,1,1,0
21,693,12,14380,0,5,0
62,2199,11,1682,1,6,0
91,3005,9,4833,0,6,0
105,1731,4,2251,1,0,0
8,2791,1,8265,1,4,0
43,2088,7,8488,1,5,1
84,2106,8,10774,1,4,0
119,3027,7,9363,0,2,0
104,2852,5,14763,1,5,1
15,717,13,6146,1,0,0
38,3068,5,9978,0,0,0
106,2678,4,14277,1,6,0
8,886,1,14650,0,4,0
89,3079,9,13923,1,1,1
103,3318,5,1699,1,2,0
38,576,9,11063,0,1,0
89,2226,10,10099,1,2,1
83,1881,0,13565,1,3,0
71,684,5,9422,0,6,1
132,2598,3,14525,0,6,1
75,2005,15,12272,0,1,1
56,2386,2,4438,0,5,0
15,2678,10,7226,0,4,0
13,1036,9,7724,1,4,1
84,741,2,10349,1,6,1
16,1641,11,6991,0,4,0
106,612,10,10071,1,6,1
70,1593,8,5356,0,1,0
45,3018,15,5971,1,6,0
101,1929,10,5616,1,4,0
114,610,6,3749,0,5,1
43,2276,7,10959,1,6,0
22,2744,3,9999,1,6,1
11,3113,4,11348,1,1,1
62,1664,2,14393,1,0,0
93,3072,1,11852,1,0,0
118,926,2,6360,0,6,0
67,795,9,7502,0,0,1
102,703,12,12709,1,0,0
67,1546,15,11068,1,2,1
106,2038,8,4462,1,0,1
87,2314,12,7356,0,3,0
88,708,14,6081,1,1,0
12,569,0,5560,1,1,0
116,1168,3,3862,0,6,1
115,2351,14,10601,1,5,0
43,1207,10,2861,0,4,0
54,3113,8,8097,0,1,1
97,2116,8,7096,1,0,1
35,998,4,2241,1,2,1
88,682,8,5082,0,6,0
56,2216,2,3430,0,2,0
131,1844,7,10647,1,1,0
133,1249,7,10196,1,1,0
9,2590,5,5561,1,3,0
110,2907,8,7301,0,1,0
130,2959,7,8006,0,2,0
121,992,7,7910,0,6,1
26,2315,8,5623,1,6,0
10,741,11,11835,0,0,1
116,3262,14,4696,1,1,0
61,2522,3,4532,1,4,1
64,2561,0,2673,0,4,0
25,3271,9,9438,0,1,1
49,751,9,14299,1,5,0
74,2636,9,14491,1,2,1
99,3217,7,3824,0,5,0
50,2181,10,3907,1,5,1
61,1907,13,12395,0,4,0
47,1987,0,3307,1,6,0
30,2796,11,9720,1,3,1
91,919,13,11296,0,6,0
122,1467,11,3670,0,2,1
113,538,6,13609,0,3,0
61,2037,4,13022,1,5,1
21,2709,5,3882,1,0,1
61,2441,14,10142,1,2,0
41,935,15,5198,1,3,1
1,1907,3,13669,1,6,1
30,1570,8,13170,0,3,0
67,1475,12,9362,1,4,1
44,1708,11,6749,1,3,0
75,1667,2,2588,1,3,1
28,1596,15,13486,1,0,0
21,1214,9,2626,1,5,0
81,2225,4,10525,1,0,1
84,2056,6,6991,1,4,0
58,766,10,8696,1,3,1
66,751,11,13450,1,3,1
16,2695,0,13717,1,2,1
22,1754,11,8004,0,4,1
11,3181,1,14701,1,3,1
126,2431,7,1705,1,6,1
114,2239,6,5327,0,1,0
130,2975,1,14030,1,1,1
98,1119,4,7452,1,6,0
85,2219,9,2993,1,1,0
123,1567,6,12646,1,4,0
109,834,0,12305,1,6,1
79,2823,12,12831,0,6,1
14,2868,6,10217,1,4,0
61,3106,1,6321,0,5,0
112,1369,7,9067,1,3,0
60,784,14,14946,0,3,1
8,885,6,9711,0,2,0
37,533,14,6482,1,2,1
64,596,7,2236,1,3,0
39,624,6,2856,1,0,0
38,748,6,12428,1,6,0
102,3079,10,3362,0,6,0
133,1103,1,2908,0,3,0
120,2787,5,3921,1,1,0
3,2837,9,13844,0,3,1
19,2483,12,6886,1,0,1
63,2269,8,9832,0,2,1
77,2749,15,2055,1,0,1
42,1616,0,8982,0,3,1
114,1246,9,3965,1,0,0
25,2312,6,7920,1,2,1
129,3238,9,8212,1,6,1
133,2782,6,6819,1,0,0
53,2734,11,5412,1,4,1
131,1263,10,8969,0,5,1
114,542,5,5312,0,5,0
13,1087,1,8517,0,2,0
66,2743,14,12299,1,0,0
107,1572,14,9447,1,6,1
32,2921,12,1390,1,4,1
59,950,13,7537,1,3,0
31,944,14,11169,0,5,1
97,2579,1,3797,1,2,0
20,3229,15,12506,1,5,1
96,1568,15,11242,1,1,1
1,760,5,11764,0,1,1
131,3076,11,2346,0,1,1
89,804,13,9746,0,3,0
83,2249,1,1525,0,4,0
46,2412,10,8833,0,0,1
50,3108,5,13703,0,5,1
103,582,8,3896,1,5,0
125,3237,13,13050,0,5,1
29,2150,1,8546,0,0,0
93,2928,0,2203,1,0,0
44,2810,0,7074,0,0,0
16,2869,10,2018,1,1,0
92,929,5,11136,0,6,0
58,1107,6,14458,0,5,1
103,2856,6,3715,1,5,0
21,552,15,4665,0,3,0
5,2557,11,9002,0,4,0
35,2545,13,1759,1,3,0
76,1034,15,12879,0,3,0
94,1068,12,4821,0,3,0
55,2092,2,4488,1,2,1
91,2219,6,9020,1,0,1
114,1397,9,4912,0,2,0
89,3287,3,14214,1,4,0
32,3134,0,7610,1,6,0
1,653,1,9056,1,3,0
94,2329,15,8783,0,2,1
13,826,6,8089,1,3,1
83,2813,13,7128,1,0,0
99,2006,13,7925,0,1,0
124,1641,3,10338,0,5,1
58,2040,4,13079,0,4,0
58,1768,2,2145,1,2,1
66,2010,10,11976,1,6,0
88,1112,1,11397,1,4,1
108,1096,5,5056,0,2,0
68,2327,13,12729,0,1,1
68,2905,12,14552,1,3,1
35,3348,5,1828,0,3,1
72,1101,13,11745,0,2,1
82,1928,2,6034,0,6,1
67,2915,3,10994,0,5,0
37,2363,10,6660,1,1,1
123,967,14,10756,1,1,0
82,1716,3,10967,0,3,1
118,1378,7,13204,1,0,1
27,2709,6,12960,1,4,0
75,2285,11,5151,0,3,0
119,2934,10,13064,1,3,0
34,2639,3,12864,1,0,1
130,794,9,13402,0,4,1
41,2552,15,10661,0,6,0
44,733,7,8293,1,0,1
98,1573,0,9060,0,0,0
26,2578,2,9415,1,6,0
37,2955,4,1983,0,3,0
18,2521,6,10735,0,1,1
57,2955,1,4110,1,5,0
35,735,2,3839,0,4,1
102,2431,3,8806,0,6,1
85,2183,5,12384,0,6,1
69,2729,12,8202,0,4,1
91,1401,8,11328,1,1,1
85,628,2,11154,0,5,1
15,2932,2,13454,0,4,0
108,876,8,1320,0,4,0
114,1477,5,10277,0,2,0
83,1972,2,9768,1,4,1
20,3040,10,2056,1,5,0
36,2151,5,9435,0,5,0
83,1048,3,12027,1,0,0
20,1752,12,10651,1,4,0
36,1294,8,13434,0,1,0
32,684,9,1588,1,3,0
46,2169,14,7773,1,6,0
104,3332,13,9387,1,3,1
21,1733,8,4708,1,0,1
47,2978,7,13844,1,5,1
6,1190,4,3273,0,4,0
59,895,10,5156,0,4,0
117,2811,3,2685,0,1,1
22,1320,13,6703,1,6,0
94,2790,14,11088,1,5,0
45,2101,13,3418,0,5,0
60,2104,10,5570,0,5,1
117,3161,10,1987,1,5,0
35,3046,5,1917,0,3,0
76,2137,2,9607,1,4,0
88,2813,6,13063,1,2,0
32,1964,8,10463,0,4,0
64,1512,14,13401,0,0,1
127,1825,3,12907,1,0,1
116,870,14,8235,0,6,0
31,1008,6,8695,0,2,0
46,3316,11,3537,0,5,1
133,1216,7,6501,0,1,0
47,1255,6,4698,0,0,0
70,1791,2,11741,0,4,1
28,1950,7,11426,0,3,1
17,931,12,12383,1,4,0
29,2033,12,9865,1,1,0
115,764,6,13522,1,5,1
108,3306,8,12146,0,4,1
3,666,12,11176,0,2,0
3,1268,12,3153,0,2,1
83,1004,1,13739,0,5,1
78,2163,9,10311,0,5,0
13,1877,14,10506,0,2,1
98,761,8,9260,0,6,0
14,1876,5,8576,1,3,0
108,1065,11,14420,0,6,1
58,3046,9,8742,1,6,1
60,908,6,10156,1,4,0
7,2040,5,8359,0,2,0
122,928,11,8437,1,4,1
96,1018,3,6187,0,3,1
33,2354,13,4652,1,6,1
64,520,8,6852,0,2,1
128,2932,2,2122,1,3,0
26,1069,12,3631,1,5,0
113,1866,11,10404,0,5,1
35,2445,0,4434,0,4,1
123,1705,14,2453,0,0,1
130,3290,4,13554,1,5,1
71,872,4,4656,0,2,1
5,923,2,9896,1,6,1
118,634,10,3307,0,1,0
27,677,8,14406,0,4,0
124,2262,12,8021,1,4,0
4,3369,6,1959,0,6,0
1,721,6,4661,0,2,0
30,537,6,5246,1,0,1
26,2740,12,6946,1,5,1
106,1136,15,14894,1,6,0
127,1456,1,10293,1,3,1
110,1552,8,1522,1,6,1
106,1839,1,6034,1,6,0
100,2748,1,9907,0,4,1
51,1246,5,4991,1,3,0
84,3121,1,4382,1,0,0
51,1294,1,12625,1,0,1
69,901,7,1261,1,5,1
44,2331,15,5927,1,0,1
58,2526,14,9900,0,3,1
50,3312,9,12660,1,1,1
63,609,7,14191,1,6,0
2,2659,6,5063,0,0,1
62,718,13,13229,1,6,1
101,1430,0,10847,0,2,1
110,2564,11,3217,1,0,1
99,1668,13,8903,0,6,1
32,1825,7,5124,1,0,0
3,1570,13,5456,1,0,1
12,784,14,4527,0,6,0
68,1547,14,11416,0,4,1
126,2372,2,12961,0,2,0
47,1899,0,3032,1,4,0
93,1227,14,3148,1,4,0
58,1288,12,3746,1,0,0
19,3182,13,3909,1,4,1
99,2394,7,1507,0,2,0
20,1062,13,3065,1,4,1
80,1955,13,5293,0,6,0
63,2063,6,6224,0,1,1
27,666,14,8470,1,0,1
41,1015,12,2502,0,5,0
118,638,0,8572,0,2,1
13,967,0,11344,0,3,0
38,1992,4,1696,0,4,1
75,2296,0,10391,0,6,0
77,1297,3,13754,0,0,1
78,1623,1,13128,1,3,0
91,679,13,8335,0,5,0
21,2097,3,12866,1,2,1
26,2376,3,12570,0,0,1
55,3001,11,8517,1,3,1
18,1947,14,2984,1,6,0
45,2056,12,10079,1,0,0
67,3345,9,11779,0,4,0
21,2534,3,8200,1,1,0
